repo_name,pkgs_num,pkgs_bench,matched_pkgs,doc_name,originator_score_r,supplier_score_r,copyright_score_r,version_score_r,dL_score_r,licenseC_score_r,licenseD_score_r,originator_score,supplier_score,version_score,dL_score,licenseC_score,licenseD_score
Awesome-AutoDL,4,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
BDFProxy,1,2,0,0.3958333333333333,0.0,0.0,0.0,0.6749999999999999,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CloserLookFewShot,1,6,0,0.411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DXY-COVID-19-Crawler,1,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
DashDoc,1,1,0,0.5386904761904762,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Depix,1,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Firefly,1,10,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Flask-SocketIO,2,23,1,0.4898809523809524,0.0,0.0,0.841025641025641,0.6749999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flat-Lattice-Transformer,1,5,0,0.4861111111111111,0.0,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
GetOldTweets-python,1,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
IbPy,1,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Learning-to-See-in-the-Dark,1,5,0,0.43209876543209874,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML-GCN,1,6,0,0.0,0.0,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MicrocodeDecryptor,1,2,0,0.4583333333333333,0.0,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PythonCrawler,1,10,0,0.3525641025641026,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RepVGG,1,10,0,0.40972222222222227,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Swar-Chia-Plot-Manager,24,9,3,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.025462962962962965,0.0,0.6666666666666666
Wav2Lip,1,11,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
acme-nosudo,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
acme-tiny,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
android-resource-remover,2,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
attention,1,2,0,0.4893518518518518,0.0,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
audible-activator,43,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.06115107913669065,0.0,1.0
audiogrep,3,2,1,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.04285714285714286,0.0,1.0
awesome-industrial-control-system-security,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
awesome-sentence-embedding,1,3,0,0.5823135198135199,0.0,0.0,0.9901960784313726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
batch-ppo,1,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
biaxial-rnn-music-composition,1,3,0,0.5502075351213281,0.0,0.0,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance-trade-bot,25,17,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.06622516556291391,0.0,1.0
cnnimageretrieval-pytorch,1,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
d3py,1,18,0,0.4375,0.0,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
data_hacks,1,1,0,0.3847222222222222,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
defx.nvim,51,6,5,0.39814814814814814,0.0,0.0,0.8418079096045198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05600671115376998,0.0,0.75
django-devserver,1,7,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
django-socketio,1,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
dockerizing-django,14,2,2,0.46593915343915343,0.0,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.05755395683453238,0.0,1.0
evillimiter,16,7,6,0.37121212121212127,0.0,0.0,0.7689393939393939,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.055516764008411476,0.0,0.7333333333333333
faceswap,1,3,0,0.4583333333333333,0.0,0.0,0.9455197132616487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fbs-tutorial,7,3,1,0.3680555555555555,0.0,0.0,0.8690593378916468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flask-graphql,9,7,1,0.3798076923076923,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
fuck12306,1,4,0,0.0,0.0,0.0,0.8768115942028986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gain,1,6,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
gcForest,1,10,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
gitosis,4,2,1,0.40178571428571425,0.0,0.0,0.7984506721348826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
google-images-download,37,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.05755395683453238,0.0,1.0
gradify,1,1,0,0.4702380952380952,0.0,0.0,1.0,0.6749999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hackingtool,43,4,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.031001865174527046,0.25,0.75
handout,1,3,0,0.6089285714285715,0.0,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hashids-python,1,2,0,0.4898809523809524,0.0,0.0,1.0,0.6749999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hayaku,1,2,0,0.4861111111111111,0.0,0.0,0.6264200553062241,0.6749999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
huepy,1,4,0,0.42083333333333334,0.0,0.0,0.9901960784313726,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hyperas,1,16,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
iOS-Universal-Framework,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ibrute,1,2,0,0.40972222222222227,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
jd-autobuy,1,2,0,0.3833333333333333,0.0,0.0,1,0.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
jwt_tool,25,5,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.05047700969659055,0.0,0.75
leapcast,22,4,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.058389931081139816,0.0,1.0
logster,4,2,1,0.40178571428571425,0.0,0.0,0.6269247101094235,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
objc_dep,1,1,0,0.40972222222222215,0.0,0.0,0.9914529914529915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pew,3,6,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
pinject,1,6,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
pipreqs,23,3,3,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.03893151463483944,0.0,1.0
pointer-generator,1,3,0,0.4648692810457516,0.0,0.0,0.8476383265856949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
python-broadlink,13,2,1,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.08227848101265822,0.0,0.3333333333333333
python-elevator-challenge,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
python-recsys,1,8,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
python-scripts,1,12,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
python_koans,1,8,0,0.4444444444444444,0.0,0.0,0.5744361400472081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
quandl-python,1,21,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
redis-rdb-tools,7,3,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.05925925925925926,0.0,1.0
samplemod,64,3,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.018656716417910446,0.5,0.5
say_what,1,4,0,0.3958333333333333,0.0,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
skip-thoughts,1,9,0,0.4727564102564103,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sotawhat,20,4,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.07394639123224457,0.0,1.0
speedtest-cli,1,1,0,0.49903846153846154,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
sublime-jsdocs,1,1,0,0.5565476190476191,0.0,0.0,1.0,0.6749999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tensorflow-vgg,1,3,0,0.35615079365079366,0.0,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
tf-coreml,1,11,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
tinychain,22,5,5,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.04300004059594852,0.0,0.9
trfl,16,6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.057971014492753624,0.0,1.0
weibo_terminater,1,15,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
xmltodict,1,2,0,0.5560185185185186,0.0,0.0,0.8852522891096825,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
youtube-8m,1,6,0,0.3847222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzzzz,1,7,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
